,08/08/2023,0,Pikachu,+None,0,Pikachu,+Main Skill Chance,0,Pikachu,+Energy Recovery,0,Totodile,+Speed of Help,0,Chikorita,+Energy Recovery
,Time,Berries,Ingredients,Skill,Berries,Ingredients,Skill,Berries,Ingredients,Skill,Berries,Ingredients,Skill,Berries,Ingredients,Skill
,,2651,,,2465,,,2940,,,4009,,,4320,,
08:00,28800.00 ,26,1,,24,3,,19,2,,13,2,,14,2,
09:20,33600.00 ,4,2,,6,1,,2,2,,4,,,9,,
10:00,36000.00 ,4,,,6,1,,6,,,2,1,,6,,
11:00,39600.00 ,8,,,4,1,,6,,,4,,,6,,
12:00,43200.00 ,6,,,4,1,,8,,,4,,,6,,
13:00,46800.00 ,6,1,,6,1,,4,1,,2,2,,3,1,
14:00,50400.00 ,2,1,,4,1,,2,1,,,2,,3,1,
15:00,54000.00 ,6,,,4,,,6,,,4,,,6,,
16:00,57600.00 ,2,2,,6,,,4,1,,4,,,3,,
17:00,61200.00 ,4,,,6,,,4,,,4,,,3,1,788
18:00,64800.00 ,6,,,6,1,597,2,2,419,4,,,3,1,
19:00,68400.00 ,,2,,2,1,,4,,,,1,,6,,
20:00,72000.00 ,2,1,,4,1,,4,,,2,1,,3,1,
21:00,75600.00 ,4,,,2,,,6,,,,1,,3,,
22:00,79200.00 ,2,,,4,,,4,1,,,1,,3,,
23:00,82800.00 ,6,,419,2,1,,2,,,,1,,3,,
